id,price,total_area,living_area,rooms,floor,total_floors,year,distance,balcony,condition,type,district,url
13,4890000.0,32.6,0.0,0,15,17,1970,585.0,Нет,Неизвестно,планировка,Ленинский,https://www.avito.ru/barnaul/kvartiry/svob._planirovka_326_m_1517_et._4239907178?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJZdnZJaTJpaUhnWDZabW82Ijt9UdxrSD8AAAA
14,5600000.0,68.0,43.3,3,7,10,1998,1277.0,балкон,требует ремонта,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_68_m_710_et._4754904983?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJyQ1RxbDZJU1BZUjR0SEprIjt9ntN5AT8AAAA
15,4990000.0,34.6,0.0,1,7,17,1970,1453.0,лоджия,Неизвестно,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_346_m_717_et._4477118747?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJhMGpaMk84VjByOTloV3kzIjt9zYE_Zz8AAAA
16,5500000.0,59.2,41.0,3,2,3,1947,459.0,Нет,косметический,квартира,Железнодорожный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_592_m_23_et._4062244985?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJva2J3NnFzeml4QWJkNXhhIjt9WKWORj8AAAA
17,12500000.0,85.2,60.0,4,12,16,1970,96.0,балкон,дизайнерский,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/4-k._kvartira_852_m_1216_et._4396283429?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTc0JhVDNoaHRRQU1rTFI0Ijt9ePdfkz8AAAA
18,20292000.0,106.8,0.0,3,6,7,1970,729.0,Нет,Неизвестно,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_1068_m_67_et._4422029836?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJrNzhLVlFwYlVuTlFSMVM0Ijt9BAJv9z8AAAA
19,15900000.0,116.5,73.3,4,3,10,2007,455.0,Нет,косметический,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/4-k._kvartira_1165_m_310_et._4245174481?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtVldma1loS293ZzMyZnNhIjt91v2Zqz8AAAA
20,11794200.0,71.5,43.4,3,2,15,1970,895.0,Нет,Неизвестно,квартира,Октябрьский,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_715_m_215_et._3528280177?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5dHhaaWh4NHVFWmRUUXZ0Ijt9qrpIeD8AAAA
21,5263200.0,30.6,15.8,1,19,21,1970,349.0,лоджия,Неизвестно,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_306_m_1921_et._4423810392?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJZQkV5M2tRdk1QTTBiNVNJIjt98QT3Hz8AAAA
22,5700000.0,39.8,14.5,1,13,16,2017,1321.0,лоджия,косметический,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_398_m_1316_et._4391854957?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIzeEJyM1VrcXdiRm1TWlM4Ijt9nW009T8AAAA
